Institute,Branch,Rank Category,Category,Gender,Opening Rank,Closing Rank
IIT  Bombay,Computer Science and Engineering,AI,OPEN,Gender-Neutral,1,68
IIT  Bombay,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,1,3
IIT  Bombay,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,1,2
IIT  Bombay,Computer Science and Engineering,AI,SC,Gender-Neutral,1,32
IIT  Bombay,Computer Science and Engineering,AI,SC (PwD),Gender-Neutral,1,1
IIT  Bombay,Computer Science and Engineering,AI,ST,Gender-Neutral,1,13
IIT  Bombay,Computer Science and Engineering,AI,ST (PwD),Gender-Neutral,1,1
IIT  Delhi,Computer Science and Engineering,AI,SC (PwD),Gender-Neutral,2,2
IIT  Bombay,Computer Science and Engineering,AI,EWS (PwD),Gender-Neutral,3,3
IIT  Delhi,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,3,3
IIT  Delhi,Computer Science and Engineering,AI,ST (PwD),Gender-Neutral,3,3
IIT  Delhi,Mathematics and Computing,AI,SC (PwD),Gender-Neutral,3,3
IIT  Kanpur,Computer Science and Engineering,AI,EWS (PwD),Gender-Neutral,4,4
IIT  Kanpur,Computer Science and Engineering,AI,SC (PwD),Gender-Neutral,4,4
IIT  Madras,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,4,4
IIT  Madras,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,4,4
IIT  Bombay,Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,5,50
IIT  Delhi,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,5,5
IIT  Hyderabad,Computer Science and Engineering,AI,SC (PwD),Gender-Neutral,5,5
IIT  Madras,Computer Science and Engineering,AI,ST,Gender-Neutral,5,29
IIT  Kharagpur,Computer Science and Engineering,AI,SC (PwD),Gender-Neutral,6,6
IIT  Kanpur,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,6,11
IIT  Kanpur,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,6,6
IIT  Guwahati,Computer Science and Engineering,AI,EWS (PwD),Gender-Neutral,6,6
IIT  Bombay,Computer Science and Engineering,AI,OPEN,Female-only ,7,421
IIT  Bombay,Computer Science and Engineering,AI,OPEN (PwD),Female-only ,7,7
IIT  Bombay,Computer Science and Engineering,AI,EWS,Gender-Neutral,7,23
IIT  Kharagpur,Computer Science and Engineering,AI,EWS (PwD),Gender-Neutral,7,9
IIT  Kharagpur,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,7,7
IIT  Kanpur,Computer Science and Engineering,AI,SC (PwD),Female-only ,8,8
IIT  Roorkee,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,8,8
IIT  Kharagpur,Electronics and Electrical Communication Engineering,AI,SC (PwD),Gender-Neutral,9,9
IIT  Bombay,Computer Science and Engineering,AI,SC,Female-only ,10,71
IIT  Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,10,10
IIT  Kharagpur,Artificial Intelligence,AI,OBC-NCL (PwD),Gender-Neutral,10,10
IIT  Roorkee,Computer Science and Engineering,AI,SC (PwD),Gender-Neutral,10,10
IIT  Delhi,Mathematics and Computing,AI,OBC-NCL (PwD),Gender-Neutral,11,11
IIT  Delhi,Mathematics and Computing,AI,EWS (PwD),Gender-Neutral,12,12
IIT  Madras,Computer Science and Engineering,AI,SC,Female-only ,12,106
IIT  Roorkee,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,13,18
IIT  Guwahati,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,13,13
IIT  Bombay,Electrical Engineering,AI,OPEN (PwD),Gender-Neutral,14,30
IIT  Delhi,Computer Science and Engineering,AI,ST,Gender-Neutral,14,23
